"Date","Latitude","Longitude","Matrix","Subregion","esfenvalerate","cyfluthrin","bifenthrin"
2012-07-24,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-08-07,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-08-22,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-09-05,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-09-18,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-10-18,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-10-22,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2012-10-29,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-11-14,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-11-27,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-11-29,37.99151,-121.7083,"water","Confluence",0,0.0029,0.047
2012-12-01,37.99151,-121.7083,"water","Confluence",0,0.025,0.15
2012-12-04,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-12-19,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-12-21,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2012-12-22,37.99151,-121.7083,"water","Confluence",0,0.0024,0.043
2013-01-08,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-01-10,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2013-01-22,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-02-05,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-02-05,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2013-02-19,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-03-05,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2013-03-12,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-03-28,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-04-01,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-04-02,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-04-02,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2013-04-03,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-04-04,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-04-04,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2013-04-05,37.99151,-121.7083,"water","Confluence",0,0.0024,0.027
2013-04-05,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-04-11,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-04-26,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-05-01,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2013-05-07,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-05-07,38.459202,-121.5030975,"water","Sacramento River",0,0,0.0016
2013-05-16,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2013-05-30,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-06-04,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2013-06-04,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2013-06-13,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-06-26,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2013-07-09,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2013-07-11,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-07-29,38.45602,-121.50134,"water","Sacramento River",0,0,0
2013-08-06,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2013-08-12,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2013-09-10,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2013-10-08,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2013-10-23,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2013-11-05,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2013-11-20,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2013-12-06,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2013-12-10,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2014-01-22,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2014-01-28,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2014-02-06,37.99151,-121.7083,"water","Confluence",NA,0.0092,0.033
2014-02-06,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2014-02-09,37.99151,-121.7083,"water","Confluence",0,0.0032,0.02
2014-02-13,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2014-02-20,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2014-02-27,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2014-03-18,38.01589,-121.83952,"water","Confluence",0,0,0
2014-04-15,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2014-05-08,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2014-05-13,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2014-05-28,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2014-06-03,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2014-06-30,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2014-07-24,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2014-08-13,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2014-10-16,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2014-11-01,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2014-12-09,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2014-12-12,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2015-01-14,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2015-01-27,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2015-02-07,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2015-02-20,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2015-02-25,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2015-03-16,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2015-03-25,38.236111,-121.4188919,"water","Central Delta",0,0,0
2015-03-25,38.36771,-121.5205,"water","Sacramento River",0,0,0
2015-04-27,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2015-05-08,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2015-05-12,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2015-05-19,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2015-06-03,38.23829,-121.68128,"water","North Delta",0,0,0
2015-06-03,38.28838,-121.72302,"water","North Delta",0,0,0
2015-06-03,38.2892,-121.66483,"water","North Delta",0,0,0
2015-06-03,38.33486,-121.6578,"water","North Delta",0,0,0
2015-06-03,38.33501,-121.67111,"water","North Delta",0,0,0
2015-06-04,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2015-06-16,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2015-07-06,38.23829,-121.68128,"water","North Delta",0,0,0
2015-07-06,38.28838,-121.72302,"water","North Delta",0,0,0
2015-07-06,38.2892,-121.66483,"water","North Delta",0,0,0
2015-07-06,38.33486,-121.6578,"water","North Delta",0,0,0
2015-07-06,38.33501,-121.67111,"water","North Delta",0,0,0
2015-07-27,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2015-07-28,37.97183,-121.37362,"water","Central Delta",0,0,0
2015-07-28,38.236111,-121.4188919,"water","Central Delta",0,0,0
2015-07-28,38.306999,-121.7941971,"water","North Delta",0,0,0
2015-07-28,38.30713,-121.79331,"water","North Delta",0,0,0
2015-07-28,38.36771,-121.5205,"water","Sacramento River",0,0,0
2015-08-13,38.23829,-121.68128,"water","North Delta",0,0,0
2015-08-13,38.28838,-121.72302,"water","North Delta",0,0,0
2015-08-13,38.2892,-121.66483,"water","North Delta",0,0,0
2015-08-13,38.33486,-121.6578,"water","North Delta",0,0,0
2015-08-13,38.33501,-121.67111,"water","North Delta",0,0,0
2015-08-18,37.97183,-121.37362,"water","Central Delta",0,0,0
2015-08-18,38.236111,-121.4188919,"water","Central Delta",0,0,0
2015-08-18,38.306999,-121.7941971,"water","North Delta",0,0,0
2015-08-18,38.30713,-121.79331,"water","North Delta",0,0,0
2015-08-18,38.36771,-121.5205,"water","Sacramento River",0,0,0.0029
2015-08-31,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2015-09-23,37.97183,-121.37362,"water","Central Delta",0,0,0
2015-09-23,38.236111,-121.4188919,"water","Central Delta",0,0,0
2015-09-23,38.306999,-121.7941971,"water","North Delta",0,0,0
2015-09-23,38.30713,-121.79331,"water","North Delta",0,0,0
2015-09-23,38.36771,-121.5205,"water","Sacramento River",0,0,0
2015-10-19,38.27425,-121.66417,"water","North Delta",0,0,0
2015-10-19,38.3491,-121.645,"water","North Delta",0,0,0
2015-10-19,38.35347,-121.6429672,"water","North Delta",0,0,0
2015-10-19,38.4747806,-121.588225,"water","North Delta",0,0,0
2015-10-19,38.57282,-121.58257,"water","North Delta",0,0,0
2015-10-21,37.97183,-121.37362,"water","Central Delta",0,0,0
2015-10-21,38.236111,-121.4188919,"water","Central Delta",0,0,0
2015-10-21,38.306999,-121.7941971,"water","North Delta",0,0,0
2015-10-21,38.30713,-121.79331,"water","North Delta",0,0,0
2015-10-21,38.36771,-121.5205,"water","Sacramento River",0,0,0
2015-10-29,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2015-11-10,37.97183,-121.37362,"water","Central Delta",0,0,0
2015-11-10,38.236111,-121.4188919,"water","Central Delta",0,0,0
2015-11-10,38.306999,-121.7941971,"water","North Delta",0,0,0.0333
2015-11-10,38.30713,-121.79331,"water","North Delta",0,0,0.0333
2015-11-10,38.36771,-121.5205,"water","Sacramento River",0,0,0
2015-12-09,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2015-12-15,37.97183,-121.37362,"water","Central Delta",0,0,0
2015-12-15,38.236111,-121.4188919,"water","Central Delta",0,0,0
2015-12-15,38.306999,-121.7941971,"water","North Delta",0,0,0.0132
2015-12-15,38.30713,-121.79331,"water","North Delta",0,0,0.0132
2015-12-15,38.36771,-121.5205,"water","Sacramento River",0,0,0
2016-01-14,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2016-01-19,37.97183,-121.37362,"water","Central Delta",0,0,0
2016-01-19,38.236111,-121.4188919,"water","Central Delta",0,0,0
2016-01-19,38.306999,-121.7941971,"water","North Delta",0,0,0
2016-01-19,38.30713,-121.79331,"water","North Delta",0,0,0
2016-01-19,38.36771,-121.5205,"water","Sacramento River",0,0,0
2016-01-27,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2016-02-10,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2016-02-17,37.97183,-121.37362,"water","Central Delta",0,0,0
2016-02-17,38.236111,-121.4188919,"water","Central Delta",0,0,0
2016-02-17,38.306999,-121.7941971,"water","North Delta",0,0,0.0115
2016-02-17,38.30713,-121.79331,"water","North Delta",0,0,0.0115
2016-02-17,38.36771,-121.5205,"water","Sacramento River",0,0,0
2016-02-24,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2016-03-07,37.97183,-121.37362,"water","Central Delta",0,0,0
2016-03-07,38.236111,-121.4188919,"water","Central Delta",0,0,0
2016-03-07,38.306999,-121.7941971,"water","North Delta",0,0,0
2016-03-07,38.30713,-121.79331,"water","North Delta",0,0,0
2016-03-07,38.36771,-121.5205,"water","Sacramento River",0,0,0
2016-03-30,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2016-04-19,37.97183,-121.37362,"water","Central Delta",0,0,0
2016-04-19,38.236111,-121.4188919,"water","Central Delta",0,0,0
2016-04-19,38.306999,-121.7941971,"water","North Delta",0,0,0
2016-04-19,38.30713,-121.79331,"water","North Delta",0,0,0
2016-04-19,38.36771,-121.5205,"water","Sacramento River",0,0,0
2016-04-20,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2016-05-11,38.5404,-121.51288,"water","Sacramento River",0,0,0
2016-05-12,38.36771,-121.5205,"water","Sacramento River",0,0,0
2016-05-12,38.4347,-121.5192,"water","Sacramento River",0,0,0
2016-05-12,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2016-05-12,38.46112,-121.50347,"water","Sacramento River",0,0,0
2016-05-13,38.17715,-121.59023,"water","Sacramento River",0,0,0
2016-05-13,38.28423,-121.55307,"water","Sacramento River",0,0,0
2016-05-18,37.97183,-121.37362,"water","Central Delta",0,0,0
2016-05-18,38.236111,-121.4188919,"water","Central Delta",0,0,0
2016-05-18,38.306999,-121.7941971,"water","North Delta",0,0,0
2016-05-18,38.30713,-121.79331,"water","North Delta",0,0,0
2016-05-18,38.36771,-121.5205,"water","Sacramento River",0,0,0
2016-06-09,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2016-06-15,37.97183,-121.37362,"water","Central Delta",0,0,0
2016-06-15,38.236111,-121.4188919,"water","Central Delta",0,0,0
2016-06-15,38.306999,-121.7941971,"water","North Delta",0,0,0
2016-06-15,38.30713,-121.79331,"water","North Delta",0,0,0
2016-06-15,38.36771,-121.5205,"water","Sacramento River",0,0,0
2016-06-22,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2016-06-23,38.27425,-121.66417,"water","North Delta",0,0,0
2016-06-23,38.4747806,-121.588225,"water","North Delta",0,0,0
2016-07-13,37.97183,-121.37362,"water","Central Delta",0,0,0
2016-07-13,38.236111,-121.4188919,"water","Central Delta",0,0,0
2016-07-13,38.306999,-121.7941971,"water","North Delta",NA,0,0.0117
2016-07-13,38.30713,-121.79331,"water","North Delta",0,0,0.0117
2016-07-13,38.36771,-121.5205,"water","Sacramento River",0,0,0
2016-07-19,38.27425,-121.66417,"water","North Delta",0,0,0
2016-07-19,38.4747806,-121.588225,"water","North Delta",0,0,0
2016-07-28,38.27425,-121.66417,"water","North Delta",0,0,0
2016-07-28,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2016-07-28,38.4747806,-121.588225,"water","North Delta",0,0,0
2016-08-02,38.27425,-121.66417,"water","North Delta",0,0,0
2016-08-02,38.4747806,-121.588225,"water","North Delta",0,0,0
2016-08-09,38.27425,-121.66417,"water","North Delta",0,0,0
2016-08-09,38.4747806,-121.588225,"water","North Delta",0,0,0
2016-08-10,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2016-08-17,37.97183,-121.37362,"water","Central Delta",0,0,0
2016-08-17,38.236111,-121.4188919,"water","Central Delta",0,0,0
2016-08-17,38.306999,-121.7941971,"water","North Delta",NA,0,0
2016-08-17,38.30713,-121.79331,"water","North Delta",0,0,0
2016-08-17,38.36771,-121.5205,"water","Sacramento River",0,0,0
2016-09-20,37.97183,-121.37362,"water","Central Delta",0,0,0
2016-09-20,38.236111,-121.4188919,"water","Central Delta",0,0,0
2016-09-20,38.306999,-121.7941971,"water","North Delta",NA,0,0
2016-09-20,38.30713,-121.79331,"water","North Delta",0,0,0
2016-09-20,38.36771,-121.5205,"water","Sacramento River",0,0,0
2016-10-18,37.97183,-121.37362,"water","Central Delta",0,0,0
2016-10-18,38.236111,-121.4188919,"water","Central Delta",0,0,0
2016-10-18,38.30713,-121.79331,"water","North Delta",0,0,0
2016-10-18,38.36771,-121.5205,"water","Sacramento River",0,0,0
2016-10-19,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2016-10-26,38.5404,-121.51288,"water","Sacramento River",0,0,0
2016-10-27,38.36771,-121.5205,"water","Sacramento River",0,0,0
2016-10-27,38.4347,-121.5192,"water","Sacramento River",0,0,0
2016-10-27,38.46112,-121.50347,"water","Sacramento River",0,0,0
2016-10-28,38.17715,-121.59023,"water","Sacramento River",0,0,0
2016-10-28,38.28423,-121.55307,"water","Sacramento River",0,0,0
2016-11-14,37.97183,-121.37362,"water","Central Delta",0,0,0
2016-11-14,38.236111,-121.4188919,"water","Central Delta",0,0,0
2016-11-14,38.306999,-121.7941971,"water","North Delta",0,0,0
2016-11-14,38.30713,-121.79331,"water","North Delta",0,0,0
2016-11-14,38.36771,-121.5205,"water","Sacramento River",0,0,0
2016-12-07,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2016-12-16,37.97183,-121.37362,"water","Central Delta",0,0,0
2016-12-16,38.236111,-121.4188919,"water","Central Delta",0,0,0
2016-12-16,38.30713,-121.79331,"water","North Delta",0,0,0
2016-12-16,38.36771,-121.5205,"water","Sacramento River",0,0,0
2017-01-09,37.97183,-121.37362,"water","Central Delta",0,0,0
2017-01-09,38.236111,-121.4188919,"water","Central Delta",0,0,0
2017-01-09,38.306999,-121.7941971,"water","North Delta",0,0,0
2017-01-09,38.30713,-121.79331,"water","North Delta",0,0,0
2017-01-09,38.36771,-121.5205,"water","Sacramento River",0,0,0
2017-01-17,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2017-01-26,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2017-02-10,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2017-02-24,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2017-02-28,37.97183,-121.37362,"water","Central Delta",0,0,0
2017-02-28,38.236111,-121.4188919,"water","Central Delta",0,0,0
2017-02-28,38.30713,-121.79331,"water","North Delta",0,0,0
2017-02-28,38.36771,-121.5205,"water","Sacramento River",0,0,0
2017-03-09,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2017-03-14,37.97183,-121.37362,"water","Central Delta",0,0,0
2017-03-14,38.236111,-121.4188919,"water","Central Delta",0,0,0
2017-03-14,38.30713,-121.79331,"water","North Delta",0,0,0.0023
2017-03-14,38.36771,-121.5205,"water","Sacramento River",0,0,0
2017-04-25,37.97183,-121.37362,"water","Central Delta",0,0,0
2017-04-25,38.236111,-121.4188919,"water","Central Delta",0,0,0
2017-04-25,38.306999,-121.7941971,"water","North Delta",0,0,0.0034
2017-04-25,38.30713,-121.79331,"water","North Delta",0,0,0.0034
2017-04-25,38.36771,-121.5205,"water","Sacramento River",0,0,0
2017-05-16,37.97183,-121.37362,"water","Central Delta",0,0,0
2017-05-16,38.236111,-121.4188919,"water","Central Delta",0,0,0
2017-05-16,38.306999,-121.7941971,"water","North Delta",0,0,0
2017-05-16,38.30713,-121.79331,"water","North Delta",0,0,0
2017-05-16,38.36771,-121.5205,"water","Sacramento River",0,0,0
2017-05-17,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2017-05-23,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2017-06-07,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2017-06-13,37.97183,-121.37362,"water","Central Delta",0,0,0
2017-06-13,38.236111,-121.4188919,"water","Central Delta",0,0,0
2017-06-13,38.30713,-121.79331,"water","North Delta",0,0,0
2017-06-13,38.36771,-121.5205,"water","Sacramento River",0,0,0
2017-06-22,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2017-06-28,38.21277778,-121.6691667,"water","North Delta",0,0,0
2017-06-28,38.27425,-121.66417,"water","North Delta",0,0,0
2017-06-28,38.4747806,-121.588225,"water","North Delta",0,0,0
2017-07-12,38.55006,-121.62608,"water","North Delta",0,NA,0
2017-07-12,38.55234,-121.62917,"water","North Delta",0,NA,0
2017-07-13,38.21277778,-121.6691667,"water","North Delta",0,0,0
2017-07-13,38.27425,-121.66417,"water","North Delta",0,0,0
2017-07-13,38.4747806,-121.588225,"water","North Delta",0,0,0
2017-07-20,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2017-07-27,38.21277778,-121.6691667,"water","North Delta",0,0,0
2017-07-27,38.27425,-121.66417,"water","North Delta",0,0,0
2017-07-27,38.4747806,-121.588225,"water","North Delta",0,0,0
2017-08-10,38.21277778,-121.6691667,"water","North Delta",0,0,0
2017-08-10,38.27425,-121.66417,"water","North Delta",0,0,0
2017-08-10,38.4747806,-121.588225,"water","North Delta",0,0,0
2017-08-21,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2017-08-29,38.53207,-121.52803,"water","Sacramento River",0,0,0
2017-08-30,38.21277778,-121.6691667,"water","North Delta",0,0,0
2017-08-30,38.27425,-121.66417,"water","North Delta",0,0,0
2017-08-30,38.4747806,-121.588225,"water","North Delta",0,0,0
2017-09-05,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2017-09-07,38.55006,-121.62608,"water","North Delta",0,NA,0.0041
2017-09-07,38.55234,-121.62917,"water","North Delta",0,NA,0
2017-09-12,38.53207,-121.52803,"water","Sacramento River",0,0,0
2017-09-13,38.21277778,-121.6691667,"water","North Delta",0,0,0
2017-09-13,38.27425,-121.66417,"water","North Delta",0,0,0
2017-09-13,38.4747806,-121.588225,"water","North Delta",0,0,0
2017-09-19,38.53207,-121.52803,"water","Sacramento River",0,0,0
2017-09-20,38.21277778,-121.6691667,"water","North Delta",0,0,0
2017-09-20,38.27425,-121.66417,"water","North Delta",0,0,0
2017-09-20,38.4747806,-121.588225,"water","North Delta",0,0,0
2017-10-03,38.53207,-121.52803,"water","Sacramento River",0,0,0
2017-10-04,38.21277778,-121.6691667,"water","North Delta",0,0,0
2017-10-04,38.27425,-121.66417,"water","North Delta",0,0,0
2017-10-04,38.4747806,-121.588225,"water","North Delta",0,0,0
2017-10-18,38.21277778,-121.6691667,"water","North Delta",0,0,0
2017-10-18,38.27425,-121.66417,"water","North Delta",0,0,0
2017-10-18,38.4747806,-121.588225,"water","North Delta",0,0,0
2017-10-19,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2017-10-19,38.53207,-121.52803,"water","Sacramento River",0,0,0
2017-11-01,38.21277778,-121.6691667,"water","North Delta",0,0,0
2017-11-01,38.27425,-121.66417,"water","North Delta",0,0,0
2017-11-01,38.4747806,-121.588225,"water","North Delta",0,0,0
2017-11-01,38.53207,-121.52803,"water","Sacramento River",0,0,0
2017-12-07,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-01-17,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-01-31,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-02-14,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-02-20,38.2399,-121.5649,"water","Sacramento River",0,0,0
2018-02-20,38.306999,-121.7941971,"water","North Delta",0,0,0
2018-03-14,38.2399,-121.5649,"water","Sacramento River",0,0,0.0024
2018-03-14,38.3067,-121.6874,"water","North Delta",0,0,0
2018-03-14,38.306999,-121.7941971,"water","North Delta",0,0,7e-04
2018-03-28,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-04-17,38.2399,-121.5649,"water","Sacramento River",0,0,0.0014
2018-04-19,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-05-10,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-05-15,37.77341,-121.29245,"water","South Delta",0,NA,0
2018-05-15,38.2399,-121.5649,"water","Sacramento River",0,0,0.0012
2018-05-15,38.3067,-121.6874,"water","North Delta",0,0,0.015
2018-05-15,38.306999,-121.7941971,"water","North Delta",0,0.0012,0
2018-05-30,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-05-30,38.55006,-121.62608,"water","North Delta",0,0,0
2018-05-30,38.55234,-121.62917,"water","North Delta",0,0,0
2018-06-14,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-06-19,38.306999,-121.7941971,"water","North Delta",0,0.016,0
2018-07-11,38.21277778,-121.6691667,"water","North Delta",0,0,0
2018-07-11,38.27425,-121.66417,"water","North Delta",0,0,0
2018-07-11,38.4747806,-121.588225,"water","North Delta",0,0,0
2018-07-12,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-07-12,38.53207,-121.52803,"water","Sacramento River",0,0,0
2018-07-17,37.77341,-121.29245,"water","South Delta",NA,0,0
2018-07-17,37.8715,-121.5256,"water","Central Delta",0,NA,0.003
2018-07-17,37.97916,-121.57023,"water","Central Delta",NA,NA,0
2018-07-17,38.1527,-121.4989,"water","Central Delta",NA,0,0
2018-07-17,38.306999,-121.7941971,"water","North Delta",0,0,0.013
2018-07-24,38.55006,-121.62608,"water","North Delta",0,0,0.00117
2018-07-24,38.55234,-121.62917,"water","North Delta",0,0,0
2018-07-25,38.53207,-121.52803,"water","Sacramento River",0,0,0
2018-07-26,38.21277778,-121.6691667,"water","North Delta",0,0,0
2018-07-26,38.27425,-121.66417,"water","North Delta",0,0,0
2018-07-26,38.4747806,-121.588225,"water","North Delta",0,0,0
2018-08-08,38.21277778,-121.6691667,"water","North Delta",0,0,0
2018-08-08,38.27425,-121.66417,"water","North Delta",0,0,0
2018-08-08,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-08-08,38.4747806,-121.588225,"water","North Delta",0,0,0
2018-08-09,38.53207,-121.52803,"water","Sacramento River",0,0,0
2018-08-20,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-08-21,37.77341,-121.29245,"water","South Delta",NA,NA,0.0116
2018-08-21,37.8715,-121.5256,"water","Central Delta",0,NA,0.002
2018-08-21,37.97916,-121.57023,"water","Central Delta",0.0163,NA,NA
2018-08-21,38.1527,-121.4989,"water","Central Delta",NA,NA,0
2018-08-21,38.2399,-121.5649,"water","Sacramento River",0.019,0,0.0092
2018-08-21,38.3067,-121.6874,"water","North Delta",0,0,0
2018-08-21,38.306999,-121.7941971,"water","North Delta",0,0,0
2018-08-21,38.4747806,-121.588225,"water","North Delta",0,0,0
2018-08-22,38.21277778,-121.6691667,"water","North Delta",0,0,0
2018-08-22,38.27425,-121.66417,"water","North Delta",0,0,0
2018-08-23,38.53207,-121.52803,"water","Sacramento River",0,0,0
2018-08-30,38.21277778,-121.6691667,"water","North Delta",0,0,0
2018-08-30,38.27425,-121.66417,"water","North Delta",0,0,0
2018-08-30,38.4747806,-121.588225,"water","North Delta",0,0,0
2018-09-04,38.4747806,-121.588225,"water","North Delta",0,0,0
2018-09-05,38.21277778,-121.6691667,"water","North Delta",0,0,0
2018-09-05,38.27425,-121.66417,"water","North Delta",0,0,0
2018-09-05,38.55006,-121.62608,"water","North Delta",0,0,0.00211
2018-09-05,38.55234,-121.62917,"water","North Delta",0,0,0
2018-09-06,38.53207,-121.52803,"water","Sacramento River",0,0,0
2018-09-18,37.77341,-121.29245,"water","South Delta",NA,0.0151,0.0144
2018-09-18,37.8715,-121.5256,"water","Central Delta",NA,NA,0.002
2018-09-18,37.97916,-121.57023,"water","Central Delta",NA,NA,0
2018-09-18,38.2399,-121.5649,"water","Sacramento River",0,0,0
2018-09-18,38.306999,-121.7941971,"water","North Delta",0,0,0
2018-09-19,38.21277778,-121.6691667,"water","North Delta",0,0,0
2018-09-19,38.27425,-121.66417,"water","North Delta",0,0,0
2018-09-19,38.4747806,-121.588225,"water","North Delta",0,0,0
2018-09-20,38.53207,-121.52803,"water","Sacramento River",0,0,0
2018-10-10,38.21277778,-121.6691667,"water","North Delta",0,0,0
2018-10-10,38.27425,-121.66417,"water","North Delta",0,0,0
2018-10-10,38.4747806,-121.588225,"water","North Delta",0,0,0
2018-10-11,38.53207,-121.52803,"water","Sacramento River",0,0,0
2018-10-16,38.306999,-121.7941971,"water","North Delta",0.026,0.013,0.013
2018-10-17,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-10-25,38.21277778,-121.6691667,"water","North Delta",0,0,0
2018-10-25,38.27425,-121.66417,"water","North Delta",0,0,0
2018-10-25,38.4747806,-121.588225,"water","North Delta",0,0,0
2018-10-26,38.53207,-121.52803,"water","Sacramento River",0,0,0
2018-11-08,38.4747806,-121.588225,"water","North Delta",0,0,0
2018-11-09,38.53207,-121.52803,"water","Sacramento River",0,0,0
2018-11-23,38.3067,-121.6874,"water","North Delta",0.035,0.018,0
2018-12-04,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-12-18,38.30713,-121.79331,"water","North Delta",0,0,0
2018-12-18,38.45602,-121.50134,"water","Sacramento River",NA,NA,0
2018-12-19,37.97183,-121.37362,"water","Central Delta",0,0,0
